id	名称	类型	对应Icon图片路径 对应Icon的背景	脚本ccbi文件	检测有新版本
1	体力	1	mainScene/u_icoqy01.png	none	0
2	赠送	2	mainScene/u_icoqy04.png	none	1
3	仙姐	3	mainScene/u_icoqy04.png	none	1
4	点拨	4	mainScene/u_icoqy04.png	none	1
5	勇闯	5	mainScene/u_icoqy07.png	none	1
6	黑胡子	6	mainScene/u_icoqy05.png	none	1
7	女帝	7	mainScene/u_icoqy02.png	none	1
8	奥义	8	mainScene/u_icoqy04.png	none	0
9	升级	9	mainScene/u_icoqy04.png	none	1
10	连续	10	mainScene/u_icoqylufei.png	none	1
11	邀请好友	11	mainScene/u_icoqy04.png	none	0
12	返利	12	mainScene/u_icoqy03.png none		1
13	财神到	13	mainScene/u_icoqy03.png none		1
14	沉船探宝	102	mainScene/u_shtbico.png	DeepSeaTreasure	1
15	女神回馈	103	mainScene/u_icoqyqixi.png	GoddessFeedback	1
16	装备锻造	104	mainScene/u_icoqyduanzao.png	ForgeEquipPiecePage	1
17	运送宝藏	105	mainScene/u_icoqyqixi.png	TransportMinePage	1
18	占卜伙伴	106	mainScene/u_icoqyxuyuan.png	WishingTree	1
19	累计登陆	107	mainScene/u_icoqyjsjliwu.png	AccumulationLogin	1
20	累计消费	108	mainScene/u_icoqyjsjxiaofei.png	AccumulationConsume	1
21	路飞的召唤	109	mainScene/u_icoqyjiaoshijie.png	CallOfLufei	1
22	超级兑换	110	mainScene/u_icoqyMAduihuan.png	AdventureConvert	1
26	定额返利	114	mainScene/u_icoqyjsjliwu.png	RechargeFeedback	1
