序号	奖池	奖励类别	奖励内容	额度	概率
1	1	12001	2002	10	100
2	1	11001	1001	20	0
3	2	32001	0	1	0
4	2	32002	0	1	70
5	2	32003	0	1	30
6	3	61001	2503001	1	30
7	3	11001	1001	20	0
8	3	32002	0	1	20
9	3	32003	0	1	20
10	3	12001	2002	10	20
11	3	61001	1503002	1	10
12	4	32001	0	1	30
13	4	32003	0	1	30
14	4	32004	0	1	40
15	5	61001	3001004	1	20
16	5	61001	3001003	1	20
17	5	61001	3001002	1	20
18	5	61001	3002004	1	10
19	5	61001	3002003	1	10
20	5	61001	3002002	1	10
21	5	61001	1501001	1	10
22	6	61001	3001004	1	10
23	6	61001	3001003	1	10
24	6	61001	3001002	1	10
25	6	61001	3002004	1	20
26	6	61001	3002003	1	10
27	6	61001	3002002	1	10
28	6	51002	0	1	10
29	6	52002	0	1	10
30	6	53002	0	1	10
31	7	12001	2002	10	10
32	7	32004	0	1	10
33	7	61001	1501001	1	10
34	7	61001	2503001	1	10
35	7	61001	3001004	1	10
36	7	61001	3001003	1	10
37	7	61001	3001002	1	10
38	7	61001	3002004	1	10
39	7	61001	3002003	1	10
40	7	61001	3002002	1	10
41	8	41001	0	1	20
42	8	41002	0	1	20
43	8	51001	0	1	20
44	8	51002	0	1	20
45	8	52002	0	1	20
46	9	41001	0	1	20
47	9	41002	0	1	20
48	9	51001	0	1	20
49	9	51002	0	1	20
50	9	52002	0	1	20
