ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效
1	熊猫人	1	1	谜一般的角色，出现于海贼世界的各个角落，常扮成海贼、海军、路人、小贩卖。	1	230 	220 	80 	300 	184 	0	0	0	0	0	0	0 	members/head_char_xiongmaoren.png	person/poster_char_xiongmaoren.png	chartex/tex_char_xiongmaoren.png	card04	person/poster_char_xiongmaoren.png	sound/man08.mp3
2	白胡子	1	1	四皇之一，白胡子海贼团的船长；号称“世界最强的男人”。拥有震动果实的能力者。	10	245 	220 	85 	360 	184 	1	406	489	469	456	5	1 	members/head_char_baihuzi.png	person/poster_char_baihuzi.png	chartex/tex_char_baihuzi.png	card04	person/poster_char_baihuzi.png	sound/man07.mp3
3	卡普	1	1	路飞的爷爷。海军中的传奇人物，曾数度将海贼王罗杰逼入绝境，人称“铁拳卡普”。	77	260 	185 	79 	320 	188 	427	462	15	6	510	656	1 	members/head_char_kapu.png	person/poster_char_kapu.png	chartex/tex_char_kapu.png	card04	person/poster_char_kapu.png	sound/man08.mp3
4	战国	1	1	海军的最高领导人，被称为“佛之战国”。是幻兽种能力者，人人果实，原型大佛。	77	218 	165 	80 	311 	188 	21	13	16	283	137	639	1 	members/head_char_fozhizhanguo.png	person/poster_char_fozhizhanguo.png	chartex/tex_char_fozhizhanguo.png	card04	person/poster_char_fozhizhanguo.png	sound/man07.mp3
5	龙	1	1	革命军的首领,世界上最恶的犯罪者。唯一能直接打倒世界政府的革命军领导人。	25	220 	210 	75 	325 	188 	425	152	153	150	135	481	1 	members/head_char_long.png	person/poster_char_long.png	chartex/tex_char_long.png	card02	person/poster_char_long.png	sound/man05.mp3
6	雷利	1	1	罗杰海贼团的副船长，指导他使用“霸气”的师父。能力：见闻色、武装色、霸王色的霸气。	74	228 	178 	73 	303 	188 	255	314	434	17	546	4	1 	members/head_char_leili.png	person/poster_char_leili.png	chartex/tex_char_leili.png	card02	person/poster_char_leili.png	sound/man07.mp3
7	香克斯	1	1	四皇之一，红发海贼团的船长，“拥有世界上最强霸气的男人”，实力高深莫测。	74	205 	200 	69 	340 	184 	50	39	490	545	660	4	1 	members/head_char_xiangkesi.png	person/poster_char_xiangkesi.png	chartex/tex_char_xiangkesi.png	card02	person/poster_char_xiangkesi.png	sound/man08.mp3
8	鹰眼	1	1	王下七武海之一，被称为世界第一剑客。他的眼神锐利似鹰，故得名“鹰眼”。	76	208 	220 	77 	286 	180 	600	157	658	525	215	684	1 	members/head_char_yingyan.png	person/poster_char_yingyan.png	chartex/tex_char_yingyan.png	card02	person/poster_char_yingyan.png	sound/man07.mp3
9	赤犬	1	1	海军三上将之一，拥有：自然系岩浆果实。	13	206 	180 	75 	325 	188 	583	236	422	590	217	639	1 	members/head_char_chiquan.png	person/poster_char_chiquan.png	chartex/tex_char_chiquan.png	card04	person/poster_char_chiquan.png	sound/man09.mp3
10	青雉	1	1	海军三大将，海军总部的“最高战力”之一。穿着白色西装背心与深蓝色衬衫，喜欢睡觉。	38	202 	149 	83 	311 	184 	417	31	423	284	154	30	1 	members/head_char_qingzhi.png	person/poster_char_qingzhi.png	chartex/tex_char_qingzhi.png	card02	person/poster_char_qingzhi.png	sound/man07.mp3
