武将等级	角色经验系数
1	1
2	1
3	1
4	1
5	1
6	1
7	1.5
8	1.5
9	1.5
10	1.5
11	1.5
12	1.5
13	1.5
14	1.5
15	1.5
16	3.5
17	3.5
18	3.5
19	3.5
20	3.5
21	3.5
22	6
23	6
24	6
25	9
26	9
27	9
28	10
29	10
30	10
31	14
32	14
33	14
34	15.5
35	15.5
36	15.5
37	20.5
38	20.5
39	20.5
40	23
41	23
42	23
43	26
44	26
45	26
46	36.5
47	36.5
48	36.5
49	40.5
50	40.5
51	40.5
52	47
53	47
54	47
55	50
56	50
57	50
58	61
59	61
60	61
61	82
62	82
63	82
64	102
65	102
66	102
67	134.5
68	134.5
69	134.5
70	169.5
71	169.5
72	169.5
73	210
74	210
75	210
76	257
77	257
78	257
79	425
80	425
81	425
82	538
83	538
84	538
85	710
86	710
87	710
88	757
89	757
90	757
91	1375
92	1375
93	1375
94	1767.5
95	1767.5
96	1767.5
97	2227
98	2227
99	2227
100	2508
101	2508
102	2508
103	3000
104	3000
105	3000
106	3443
107	3443
108	3443
109	3717
110	3717
111	3717
112	4092
113	4092
114	4092
115	4508.5
116	4508.5
117	4508.5
118	4967
119	4967
120	4967
121	5467
122	5467
123	5467
124	6017
125	6017
126	6017
127	6625
128	6625
129	6625
130	7292
131	7292
132	7292
133	8025
134	8025
135	8025
136	8833.5
137	8833.5
138	8833.5
139	9717
140	9717
141	9717
142	10692
143	10692
144	10692
145	11762
146	11762
147	11762
148	12940
149	12940
150	12940
