ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径
1	黑刀夜	1	1	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	201	15	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png
2	王者薙刀	1	1	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	189	13.7	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png
3	初代鬼彻	1	1	无上大快刀之一，传说中的妖刀。只有比剑灵强大，才能驾驭，否则最终被吞噬，死于非命。	178	12.6	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png
4	七星剑	1	1	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	169	11.7	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png
5	恶魔战斧	1	1	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	164	11	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png
6	金色手钩	1	2	纯金打造的海盗手钩，仿若蝎子的尾巴，其尖钩内藏着剧毒，见血封侯。	120	8.9	equipposter/poster_weapon_jinseshougou.png	equipposter/poster_weapon_jinseshougou.png	equiptex/tex_weapon_jinseshougou.png
7	黄金手枪	1	2	纯金打造的手枪，除了拥有拉风的造型外，威力也非同小可，是身份与实力的象征。	115	8.5	equipposter/poster_weapon_huangjinshouqiang.png	equipposter/poster_weapon_huangjinshouqiang.png	equiptex/tex_weapon_huangjinshouqiang.png
8	黄金棍	1	2	纯金打造的长棍，因其良好的导电性，被艾尼路当做施展天罚的重要武器。	102	8.4	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png
9	和道一文字	1	2	大快刀之一，朴素无华，内中却蕴含着无上的杀气，承载着古伊娜与索隆两个人的梦想。	101	8.3	equipposter/poster_weapon_hedaoyiwenzi.png	equipposter/poster_weapon_hedaoyiwenzi.png	equiptex/tex_weapon_hedaoyiwenzi.png
10	秋水	1	2	大快刀之一，经过无数次折叠锻打，刀脊厚实而结实，杀伤力极大。	99	8.2	equipposter/poster_weapon_qiushui.png	equipposter/poster_weapon_qiushui.png	equiptex/tex_weapon_qiushui.png
11	雪走	1	2	良快刀之一，狭长锋利，刀身弧度小，是索隆早期使用的佩刀之一。	97	7.7	equipposter/poster_weapon_xuezou.png	equipposter/poster_weapon_xuezou.png	equiptex/tex_weapon_xuezou.png
12	花洲	1	2	良快刀之一，刀身有像火焰般的纹路，锋利无比。	97	6.5	equipposter/poster_weapon_huazhou.png	equipposter/poster_weapon_huazhou.png	equiptex/tex_weapon_huazhou.png
13	狙击火枪	1	2	长筒狙击火枪，配有瞄准镜，在很远的距离也可以准确定位敌人。	95	6.4	equipposter/poster_weapon_jujihuoqiang.png	equipposter/poster_weapon_jujihuoqiang.png	equiptex/tex_weapon_jujihuoqiang.png
14	天候棒	1	2	乌索普为娜美制造的武器。三截式长棍，可进行不同的组合，释放出多种天候技能。	91	6.4	equipposter/poster_weapon_tianhoubang.png	equipposter/poster_weapon_tianhoubang.png	equiptex/tex_weapon_tianhoubang.png
15	拐杖剑	1	2	长的很像紫色的拐杖，实则为西洋剑的一种。剑刃细长成圆锥状，适合突刺。	90	6.3	equipposter/poster_weapon_guaizhangjian.png	equipposter/poster_weapon_guaizhangjian.png	equiptex/tex_weapon_guaizhangjian.png
16	黑兜	1	2	绿色的巨型弹弓，比普通弹弓准确性和攻击强度都有大幅度提升，射程也更远。	89	5.1	equipposter/poster_weapon_heidou.png	equipposter/poster_weapon_heidou.png	equiptex/tex_weapon_heidou.png
17	花剑	1	2	剑身横断面为矩形，护手盘小，典型的突刺型击剑。	84	5	equipposter/poster_weapon_huajian.png	equipposter/poster_weapon_huajian.png	equiptex/tex_weapon_huajian.png
18	武士太刀	1	3	削泥如铁，无脆不坚	60	3.5	equipposter/poster_weapon_wushitaidao.png	equipposter/poster_weapon_wushitaidao.png	equiptex/tex_weapon_wushitaidao.png
19	大战枪	1	3	削泥如铁，无脆不坚	58	3.5	equipposter/poster_weapon_dazhanqiang.png	equipposter/poster_weapon_dazhanqiang.png	equiptex/tex_weapon_dazhanqiang.png
20	三代鬼彻	1	3	第三代鬼彻，刀身狭窄，弯度很大，刀锋上拥有似火焰状的诡异纹路。	57	3.5	equipposter/poster_weapon_sandaiguiche.png	equipposter/poster_weapon_sandaiguiche.png	equiptex/tex_weapon_sandaiguiche.png
21	时雨	1	3	快刀之一，做工精良，狭长轻盈，适合女子使用。	55	3.4	equipposter/poster_weapon_shiyu.png	equipposter/poster_weapon_shiyu.png	equiptex/tex_weapon_shiyu.png
22	廓尔喀弯刀	1	3	多功能的小刀，刀身底部会有小小的V形凹痕，可以将拔出后的鲜血导引，以免沾污刀柄。	54	3.3	equipposter/poster_weapon_kuoerkawandao.png	equipposter/poster_weapon_kuoerkawandao.png	equiptex/tex_weapon_kuoerkawandao.png
23	长剑	1	3	普通的长剑，因为剑身较长，要求使用者有高超的技巧和灵动的身法才能发挥威力。	46	3.2	equipposter/poster_weapon_changjian.png	equipposter/poster_weapon_changjian.png	equiptex/tex_weapon_changjian.png
24	巨锤	1	3	巨型的大锤子，身强力壮的勇猛之人喜欢使用的武器。	42	3.2	equipposter/poster_weapon_juchui.png	equipposter/poster_weapon_juchui.png	equiptex/tex_weapon_juchui.png
25	制式手枪	1	3	常见的制式手枪，是火器交战的常用武器，多数人都会使用，但准度就因人而异了。	40	3.2	equipposter/poster_weapon_zhishishouqiang.png	equipposter/poster_weapon_zhishishouqiang.png	equiptex/tex_weapon_zhishishouqiang.png
26	战斧	1	3	普通的战斧，最利于进行劈砍动作，力气见长者喜爱使用。	39	3	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_weapon_zhanfu.png
27	十手	1	3	类似叉子状的武器，虽然短小，却精悍灵活，对使用者的灵巧性要求较高。	38	2.9	equipposter/poster_weapon_shishou.png	equipposter/poster_weapon_shishou.png	equiptex/tex_weapon_shishou.png
28	皮鞭	1	3	普通的皮鞭，抽打到人身上一定很疼，你不会多想吧？	36	2.8	equipposter/poster_weapon_pibian.png	equipposter/poster_weapon_pibian.png	equiptex/tex_weapon_pibian.png
29	猫爪	1	3	像猫爪一样锋利的指套，可轻易切开或撕裂对手。	35	2.8	equipposter/poster_weapon_maozhua.png	equipposter/poster_weapon_maozhua.png	equiptex/tex_weapon_maozhua.png
30	大剪刀	1	4	特制的巨大剪刀，能轻易的剪开敌人，是种比较少见的偏门武器。	23	2.4	equipposter/poster_weapon_dajiandao.png	equipposter/poster_weapon_dajiandao.png	equiptex/tex_weapon_dajiandao.png
31	锋利餐刀	1	4	厨师最爱使用的小刀，可切菜，也可切人。	22	2.3	equipposter/poster_weapon_fenglicandao.png	equipposter/poster_weapon_fenglicandao.png	equiptex/tex_weapon_fenglicandao.png
32	海贼小刀	1	4	海贼们常用的小刀，携带方便，用途多样。	21	2.3	equipposter/poster_weapon_haizeixiaodao.png	equipposter/poster_weapon_haizeixiaodao.png	equiptex/tex_weapon_haizeixiaodao.png
33	拳击手套	1	4	拳击手使用的手套，在保护手的同时，但也降低了攻击的杀伤力。	20	2.3	equipposter/poster_weapon_quanjishoutao.png	equipposter/poster_weapon_quanjishoutao.png	equiptex/tex_weapon_quanjishoutao.png
34	球棒	1	4	普通的棒球棒，可以用力挥击打向敌人，或者击打其它道具。	20	2.2	equipposter/poster_weapon_qiubang.png	equipposter/poster_weapon_qiubang.png	equiptex/tex_weapon_qiubang.png
35	铁环	1	4	铁质的圆环，边缘锋利无比，可握在手里，也可投掷出去。	20	2	equipposter/poster_weapon_tiehuan.png	equipposter/poster_weapon_tiehuan.png	equiptex/tex_weapon_tiehuan.png
36	狼牙棒	1	4	长满铁质尖刺的狼牙棒，看上去就很有杀伤力。	20	1.9	equipposter/poster_weapon_langyabang.png	equipposter/poster_weapon_langyabang.png	equiptex/tex_weapon_langyabang.png
37	长枪	1	4	普通的长枪，骑士作战时最爱使用的武器，虽然挥动起来比较笨拙，但冲刺攻击效果不错。	19	1.8	equipposter/poster_weapon_changqiang.png	equipposter/poster_weapon_changqiang.png	equiptex/tex_weapon_changqiang.png
38	十字战甲	2	1	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	101	8.5	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png
39	火烈鸟大氅	2	1	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	99	8.1	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png
40	战神头盔	2	1	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	101	7.9	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png
41	统治者披风	2	1	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。	98	7.8	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png
42	玫瑰战甲	2	1	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	100	7.8	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png
