闯过关数	5人阵毎星银两	6人阵毎星银两	7人阵毎星银两	8人阵毎星银两	奖励类型文案
5	2000	3000	4000	5000	很多贝里，宝箱，钥匙，钻石
10	4000	6000	8000	10000	很多贝里，宝箱，钥匙，钻石
15	6000	9000	12000	15000	很多贝里，宝箱，钥匙，钻石
20	8000	12000	16000	20000	很多贝里，宝箱，钥匙，钻石
25	10000	15000	20000	25000	很多贝里，宝箱，钥匙，钻石
30	11000	16500	22000	27500	很多贝里，宝箱，钥匙，钻石
35	12000	18000	24000	30000	很多贝里，宝箱，钥匙，钻石
40	13000	19500	26000	32500	很多贝里，宝箱，钥匙，钻石
45	14000	21000	28000	35000	很多贝里，宝箱，钥匙，钻石
50	15000	22500	30000	37500	很多贝里，宝箱，钥匙，钻石
55	16000	24000	32000	40000	很多贝里，宝箱，钥匙，钻石
60	17000	25500	34000	42500	很多贝里，宝箱，钥匙，钻石
65	18000	27000	36000	45000	很多贝里，宝箱，钥匙，钻石
70	19000	28500	38000	47500	很多贝里，宝箱，钥匙，钻石
75	20000	30000	40000	50000	很多贝里，宝箱，钥匙，钻石
80	21000	31500	42000	52500	很多贝里，宝箱，钥匙，钻石
85	22000	33000	44000	55000	很多贝里，宝箱，钥匙，钻石
90	23000	34500	46000	57500	很多贝里，宝箱，钥匙，钻石
95	24000	36000	48000	60000	很多贝里，宝箱，钥匙，钻石
100	25000	37500	50000	62500	很多贝里，宝箱，钥匙，钻石
105	26000	39000	52000	65000	很多贝里，宝箱，钥匙，钻石
110	27000	40500	54000	67500	很多贝里，宝箱，钥匙，钻石
115	28000	42000	56000	70000	很多贝里，宝箱，钥匙，钻石
120	29000	43500	58000	72500	很多贝里，宝箱，钥匙，钻石
125	30000	45000	60000	75000	很多贝里，宝箱，钥匙，钻石
