ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片
1	雷娅	35
2	卢卡斯	310
3	卢卡	340
4	迪姆	410
5	费恩	370
6	约纳斯	55
7	费力克斯	45
8	路易斯	355
9	保罗	2995
10	马克西米连	3200
11	尤利安	31800
12	马科斯	3150
13	奥斯卡	55
14	本	330
15	以利亚	340
16	扬扬	430
17	菲利普	375
18	诺亚	55
19	雅尼克	45
20	大卫	60
21	雷奥妮	3000
22	汉娜	350
23	米娅	32000
24	雷娜	3300
25	安娜	2950
26	艾美丽 	295
27	拉拉	430
28	爱玛	420
29	莎拉	3150
30	劳拉	415
31	莉莉	435
32	丽娜	3300
33	玛丽	55
34	苏菲	50
35	奈乐	48
36	约翰娜	360
37	索非娅	420
38	丽莎	60
39	玛雅	54
40	艾比盖	43
41	埃达	357
42	爱得拉	388
43	爱得莱德	3325
44	阿芙拉	52
45	阿加莎	47
46	爱葛妮丝	55
47	爱尔柏塔	38
48	爱莉克希亚	44
49	艾丽斯希腊	424
50	爱玛	411
51	阿尔娃拉丁	3180
52	阿蜜莉雅	3380
53	艾咪	3115
54	阿娜丝塔	430
55	安德烈亚	366
56	安妮	357
57	安娜	382
58	安纳贝尔	60
59	安东妮儿	52
60	艾谱莉拉丁	39
61	爱勒贝拉	310
62	亚特兰特	333
63	阿西娜	392
64	奥德丽	405
65	芭芭拉	3445
66	贝琳达	3125
67	碧翠丝	457
68	贝拉	34027
69	柏妮丝	33785
70	柏莎	35000
71	百丽儿	3421
72	贝丝	3087
73	布兰琪条顿	440
74	贝齐	57
75	布莱兹	420
76	贝丝	52
77	贝蒂	33
78	布伦达盖尔	54
79	布里奇特	37
80	布鲁克	48
81	卡米拉	421
82	坎蒂丝	392
83	卡拉	50
84	凯瑟琳	384
85	卡罗琳	43
86	塞西莉亚	44
87	西莱斯特	52
88	夏洛特	398
89	绮莉	2950
90	谢里尔	3250
91	克洛怡	450
92	克里斯廷	51
93	克莱儿	33
94	克莱曼婷	444
95	康斯坦丝	321
96	科拉	32380
97	卡洛儿	2985
98	可妮莉雅	55
99	黛儿	54
100	达莲娜	320
101	黛芙妮	380
102	德博拉	356
103	迪得莉盖尔	51
104	迪丽雅	44
105	丹尼丝	49
106	黛安娜	38
107	多洛雷斯	450
108	多明尼卡	3300
109	唐娜	3015
110	多琳	54
111	桃乐斯	45
112	多拉	44
113	尔莎	38
114	艾德文娜	55
115	伊迪丝	380
116	伊莲恩	320
117	艾琳诺	415
118	伊丽莎白	3115
119	埃拉	35
120	艾尔玛	55
121	埃尔韦拉	52
122	艾丽卡	48
123	尤多拉	41
124	艾丝特	39
125	尤妮斯	350
126	伊芙	380
127	捷琳	415
128	费滋	54
129	梵妮	50
130	费怡	40
131	弗罗伦丝	2980
132	菲蕾德	415
133	里拉	50
134	弗朗西斯	39
135	弗罗拉	42
136	姬玛	430
137	珍妮	325
138	韦尔斯	46
139	乔治亚	41
140	杰拉尔丁	39
141	姬儿	55
142	吉榭尔	314
143	韦尔斯公主	395
144	葛罗瑞亚	426
145	葛瑞丝	3320
146	葛佳丝	31520
147	关德琳	55
148	汉纳	360
149	哈莉特	452
150	海柔	48
151	海洛伊	51
152	赫达	42
153	希拉瑞莉	51
154	妮子	47
155	那维亚	42
156	爱莉丝	39
157	艾尔玛	52
158	伊莎蓓尔	412
159	婕咪	395
160	杰奎琳	55
161	乔	53
162	约瑟芬	377
163	乔蒂	3217
164	朱莉娅	384
165	凯伦	415
166	李林	45
167	洛兰	55
168	海贼团	31690
169	女王陛下	52
170	米兰达	45
171	鲍伯	50
172	布莱恩	42
173	卡尔	38
174	戴纳	45
175	邓肯	450
176	杜鲁门	392
177	欧内斯特	3120
178	福特	430
179	法兰克林	415
180	帕克	390
181	保罗	375
182	皮特	55
183	昆尼尔	355
184	雷尔夫	45
185	洛克	53
186	山姆	48
187	所罗门	39
188	你妹	432
189	大海贼	3250
190	尼克罗宾	2954
191	伤不起	54
192	航海时代	432
193	求给力	44
194	小李飞刀	3155
195	为了薇儿	34218
196	老干爹	55
197	想你	442
198	寂寞的男人	395
199	浪子	382
200	薇薇	3397
