id	名称	描述	icon路径
1	船长等级	船长等级影响船员与装备等级上限，船员与装备等级上限不大于船长等级的3倍。	mainScene/u_bannerLV.png
2	船长威望	积攒足够的船长威望可提升船长等级，通过航行和决斗可获得威望。	mainScene/u_pwei.png
3	贝里	海贼世界中的基础货币，主要用于招募低阶船员、强化装备和参悟奥义。	mainScene/u_banner02.png
4	钻石	通过充值或某些活动获得，用于招募高阶船员与购买特殊道具，可以获得更好的游戏感受。	mainScene/u_banner01.png
5	体力	航行闯关时消耗，每半小时恢复1点。	mainScene/u_banner03.png
6	战意	与其他船长战斗时消耗，每半小时恢复1点。	mainScene/u_banner04.png
7	VIP	船长的尊贵属性，共13级，级别越高获得的特权越多，可通过充值提升等级，具体特权可在商店-充值页面查看。	none
8	船员等级	船员等级越高战斗力越强，品质越高升级后属性提升越多。	mainScene/u_bannerLV.png
9	船员经验	积攒够船员经验可提升船员等级，通过航行和与其他船长战斗，上阵船员可获得经验。	none
10	船员品质	分为A、B、C、D四个品质，A级最强，品质越高升级后基础属性加成越高。	mainScene/u_scbanner06.png
11	船员影子	攒够影子可以招募船员，也可用于船员突破提升潜力，船员品质越高，招募时需要的影子越多。	none
12	血	船员的生命值，基础属性之一，降为零则死亡。	mainScene/u_pti.png
13	攻	船员攻击力，基础属性之一，提高对敌造成的伤害。	mainScene/u_pgong.png
14	防	船员防御力，基础属性之一，降低受到的伤害。	mainScene/u_pfang.png
15	意	船员意志值，基础属性之一，提高奥义释放的伤害。	mainScene/u_pyi.png
16	缘	船员与其他船员、装备和奥义的关联，激活后可提升船员的基础属性。	mainScene/u_pyuan.png
17	装备	分为武器、防具和饰品，分别增加船员的攻、防和血。装备从强到弱也分为A、B、C、D四个品阶。	none
18	奥义	同样分为A、B、C、D四个品阶，战斗时触发可造成大量伤害，部分奥义会增加基本属性。每个船员有一个天赋奥义，可再装备两种奥义。	none
19	回合单挑	战斗中前两轮为回合单挑模式，每个船员单挑一名敌人，无对手时轮空，全部单挑分出胜负但某一方未被全灭或五回合内不分胜负会自动进入进入下一轮，第二轮结束后还没有分出胜负进入意志比拼模式。	none
20	意志比拼	战斗进行到第三轮进入意志比拼模式，双方剩余船员的意志值与剩余血量相加之后互相比拼，先比拼意志，意志耗尽后比拼血量，某一方血量归零则失败。	none
21	商店	在此处可招募船员，购买特殊道具。	none
22	航行	带领船员航行战斗，击败每个关卡遇到的敌人，可获得威望、船员经验、贝里甚至宝贵的道具。每关战斗难度不同，可战斗的次数也不同，次数消耗完可通过钻石来补充。	none
23	决斗	带领船员与其他船长的海贼团比试，排名越靠前奖励越好。	none
