GradeId	CanDisciple	 MaxPower  	MaxVitality   	GoldReward 	SilverReward	船长升级所需总经验	对应贝里1
1	2	30	12	0	0	130	92
2	3	30	12	10	440	284	88
3	3	30	12	10	675	440	135
4	3	30	12	10	690	609	138
5	4	30	12	10	700	791	140
6	4	30	12	10	810	1181	162
7	4	30	12	10	820	1597	164
8	4	30	12	10	875	2253	175
9	4	30	12	10	1055	3120	211
10	4	30	12	10	1110	4038	222
11	5	30	12	10	1315	5190	263
12	5	30	12	10	1370	6414	274
13	5	30	12	10	1600	7877	320
14	5	30	12	10	1790	9417	358
15	5	30	12	10	1855	11097	371
16	6	30	12	10	2435	12897	487
17	6	30	12	10	2530	14913	506
18	6	30	12	10	2755	17055	551
19	6	30	12	10	2780	19431	556
20	6	30	12	10	3175	22076	635
21	7	30	12	10	6930	25020	1386
22	7	30	12	10	7185	28692	1437
23	7	30	12	10	8125	32988	1625
24	7	30	12	10	8955	38088	1791
25	7	30	12	10	9860	43838	1972
26	8	30	12	10	11775	50468	2355
27	8	30	12	10	16630	58541	3326
28	8	30	12	10	17045	68873	3409
29	8	30	12	10	17530	82145	3506
30	8	30	12	10	18685	95417	3737
31	8	30	12	10	23860	116333	4772
32	8	30	12	10	24630	143303	4926
33	8	30	12	10	24840	177001	4968
34	8	30	12	10	26320	212816	5264
35	8	30	12	10	29390	252506	5878
36	8	30	12	10	32370	293846	6474
37	8	30	12	10	33110	338951	6622
38	8	30	12	10	34715	387847	6943
39	8	30	12	10	36425	440779	7285
40	8	30	12	10	38220	498035	7644
41	8	30	12	10	40060	559950	8012
42	8	30	12	10	41995	626802	8399
43	8	30	12	10	44035	698952	8807
44	8	30	12	10	46160	776738	9232
45	8	30	12	10	48380	860588	9676
46	8	30	12	10	50720	950868	10144
47	8	30	12	10	53135	1048038	10627
48	8	30	12	10	55680	1152576	11136
49	8	30	12	10	58340	1264935	11668
50	8	30	12	10	61125	1385671	12225
