ID	名称	品阶	类型	技能说明	初始加成额度	技能成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	音效
1	龙卷风	1	2	龙卷风来势迅猛，对所有人造成巨大伤害。此奥义容易施展。	11.88	6.42	skillposter/poster_skill_longjuanfeng.png	skillposter/poster_skill_longjuanfeng.png	skilltex/tex_skill_longjuanfeng.png	6	s_slga	large_group_e	{mSlgaEF01:s_LjfmSlgeEF01.png}{mSlgaEF02:s_LjfmSlgeEF02.png}{mSlgaEF03:s_LjfmSlgeEF03.png}{mSlgaEF04:s_LjfmSlgeEF04.png}{mSlgaEF05:s_LjfmSlgeEF05.png}{mSlgaEF06:s_LjfmSlgeEF06.png}{mSlgaEF07:s_LjfmSlgeEF07.png}{mSlgaEF08:s_LjfmSlgeEF08.png}{mSlgaEF09:s_LjfmSlgeEF09.png}{mSlgaEF10:s_LjfmSlgeEF10.png}	longjuanfeng.mp3
2	三档象枪	1	1	三档象枪如同巨人的拳头，狠狠的砸在对手身上。此奥义较易施展。	40.83	24.15	skillposter/poster_skill_sandangxiangqiang.png	skillposter/poster_skill_sandangxiangqiang.png	skilltex/tex_skill_sandangxiangqiang.png	6	s_slsa	large_single_e	{mSlsaEF01:s_sdxqmSlsaEF01.png}{mSlsaEF02a01:s_sdxqmSlsaEF02a01.png}{mSlsaEF02a02:s_sdxqmSlsaEF02a02.png}{mSlsaEF03:s_sdxqmSlsaEF03.png}{mSlsaEF04:s_sdxqmSlsaEF04.png}{mSlsaEF05:s_sdxqmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	sandang.mp3
3	三千世界	1	2	三刀流的奥义，刀像风车般旋转，使出的斩刀几乎没可能看穿。此奥义较难施展。	17.65	9.72	skillposter/poster_skill_sanqianshijie.png	skillposter/poster_skill_sanqianshijie.png	skilltex/tex_skill_sanqianshijie.png	6	s_slga	large_group_c	{mSlgaEF01:s_sqsjmSlgcEF01.png}{mSlgaEF02:s_sqsjmSlgcEF02.png}{mSlgaEF03:s_sqsjmSlgcEF03.png}{mSlgaEF04:s_sqsjmSlgcEF04.png}{mSlgaEF05:s_sqsjmSlgcEF05.png}{mSlgaEF06:s_sqsjmSlgcEF06.png}{mSlgaEF07:s_sqsjmSlgcEF07.png}{mSlgaEF08:s_sqsjmSlgcEF08.png}{mSlgaEF09:s_sqsjmSlgcEF09.png}{mSlgaEF10:s_sqsjmSlgcEF10.png}	sanqianshijie.mp3
4	恶魔风脚	1	1	借高速旋转让脚产生高温，踢速更快，连敌人的骨头也被烧焦。此奥义较易施展。	39.76	22.47	skillposter/poster_skill_emofengjiao.png	skillposter/poster_skill_emofengjiao.png	skilltex/tex_skill_emofengjiao.png	6	s_slsa	large_single_e	{mSlsaEF01:s_emfjmSlsaEF01.png}{mSlsaEF02a01:s_emfjmSlsaEF02a01.png}{mSlsaEF02a02:s_emfjmSlsaEF02a02.png}{mSlsaEF03:s_emfjmSlsaEF03.png}{mSlsaEF04:s_emfjmSlsaEF04.png}{mSlsaEF05:s_emfjmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	emofengjiao.mp3
5	火鸟星	1	1	用弹弓发射的火焰，如凤凰般燃尽眼前的敌人。此奥义较易施展。	34.79	21.21	skillposter/poster_skill_huoniaoxing.png	skillposter/poster_skill_huoniaoxing.png	skilltex/tex_skill_huoniaoxing.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	huoniao.mp3
6	镭射光线	1	1	需要一定时间的蓄力，然后发出极具杀伤力的镭射光线。此奥义较易施展。	36.57	21.21	skillposter/poster_skill_fusheguangxian.png	skillposter/poster_skill_fusheguangxian.png	skilltex/tex_skill_fusheguangxian.png	6	s_slsb	large_single_f	{mSlsaEF01:s_lsgxmSlsaEF01.png}{mSlsaEF02a01:s_lsgxmSlsaEF02a01.png}{mSlsaEF02a02:s_lsgxmSlsaEF02a02.png}{mSlsaEF03:s_lsgxmSlsaEF03.png}{mSlsaEF04:s_lsgxmSlsaEF04.png}{mSlsaEF05:s_lsgxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	leishe.mp3
7	万轮花	1	1	使对手身上长出极多花,结合形成不同的用途。此奥义较易施展。	35.86	20.79	skillposter/poster_skill_wanlunhua.png	skillposter/poster_skill_wanlunhua.png	skilltex/tex_skill_wanlunhua.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	wanlunhua.mp3
8	酒樽舞曲	1	6	美妙欢乐的音乐，酒宴上经常演奏的助兴舞曲。可以提升修习者的意志。	0.093	0.031	skillposter/poster_skill_jiuzunwuqu.png	skillposter/poster_skill_jiuzunwuqu.png	skilltex/tex_skill_jiuzunwuqu.png	1	Battle	buffc	0	yibuff.mp3
9	革命舞曲	1	6	强劲激昂的乐曲，用以在战斗时激励众人奋进。可以提升修习者的意志。	0.09	0.03	skillposter/poster_skill_gemingwuqu.png	skillposter/poster_skill_gemingwuqu.png	skilltex/tex_skill_gemingwuqu.png	1	s_buff	buffc	0	yibuff.mp3
10	空震	1	1	使用震震果实的能力，利用武器或手掌一挥一甩，将前方的物体震开后瞬间震碎。此奥义容易施展。	29.58	17.68	skillposter/poster_skill_kongzhen.png	skillposter/poster_skill_kongzhen.png	skilltex/tex_skill_kongzhen.png	6	s_slsa	large_single_e	{mSlsaEF01:s_kzmSlsaEF01.png}{mSlsaEF02a01:s_kzmSlsaEF02a01.png}{mSlsaEF02a02:s_kzmSlsaEF02a02.png}{mSlsaEF03:s_kzmSlsaEF03.png}{mSlsaEF04:s_kzmSlsaEF04.png}{mSlsaEF05:s_kzmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	kongzhen.mp3
