id	name	加成类型	时效	升级条件描述	说明	iconPic	namePic	加成额度
1001	汪洋大盗	1	0	通关{冒险黎明-近海王兽}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	10
1002	汪洋大盗	1	0	通关{海贼猎人-营救索隆}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	20
1003	汪洋大盗	1	0	通关{小贼猫-四分五裂}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	30
1004	汪洋大盗	1	0	通关{狙击之王-智多星}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	40
1005	汪洋大盗	1	0	通关{黑脚厨师-海贼提督}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	50
1006	汪洋大盗	1	0	通关{恶龙领域-锯齿鲨鱼}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	60
1007	汪洋大盗	1	0	通关{终与始-颠倒山}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	70
1008	汪洋大盗	1	0	通关{威士忌山-爆爆果实}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	80
1009	汪洋大盗	1	0	通关{小花园-蜡烛盛宴}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	90
1010	汪洋大盗	1	0	通关{冬之岛-磁鼓国王}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	100
1011	汪洋大盗	1	0	通关{沙漠王国-超越}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	110
1012	汪洋大盗	1	0	通关{空之岛-遗迹对决}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	120
1013	汪洋大盗	1	0	通关{长环长岛-船长对决}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	130
1014	汪洋大盗	1	0	通关{水之七都-劫持}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	140
1015	汪洋大盗	1	0	通关{海上列车-空气门}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	150
1016	汪洋大盗	1	0	通关{司法岛-向世界宣战}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	160
1017	汪洋大盗	1	0	通关{再见梅利-决战之桥}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	170
1018	汪洋大盗	1	0	通关{魔鬼三角-影子集合地}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	180
1019	汪洋大盗	1	0	通关{新世界-闪光人}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	190
1020	汪洋大盗	1	0	通关{女儿国-大监狱}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	200
1021	汪洋大盗	1	0	通关{推进城-打开正门}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	210
1022	汪洋大盗	1	0	通关{海军总部-遗漏的人}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	220
