id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具	是否是宝石	是否在包裹中显示
1101001	空白海盗旗	使用后可立即修改当前海贼团的名称。	3000	2	4	ChangeNamePage	使用	itemposter/poster_item_haidaoqi.png	itemposter/poster_item_haidaoqi.png	0	1	-1	none	0	1
1101002	音贝	空岛特产，可将话语传播给世界各地的人。	10	2	0	none	none	itemposter/poster_item_yinbei.png	itemposter/poster_item_yinbei.png	0	1	-1	none	0	1
1501001	朗姆酒	使用后，自动给阵容中等级最低的船员增加2000点经验值	88	2	1	MessageBox.ccb	使用	itemposter/poster_item_langmujiu.png	itemposter/poster_item_langmujiu.png	0	0	0	none	0	1
1501002	葡萄酒	使用后，自动给阵容中的所有船员增加2000点经验值	388	2	1	MessageBox.ccb	使用	itemposter/poster_item_langmujiu.png	itemposter/poster_item_langmujiu.png	0	0	0	none	0	1
1502001	潜能药剂	培养船员，提升潜力时的必需物品。	999999	2	3	DisciplePage	培养	itemposter/poster_item_qiannengyaoji.png	itemposter/poster_item_qiannengyaoji.png	0	0	0	none	0	1
1503001	普通传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的80%经验传递给另一人。	288	2	3	DisciplePage	传承	itemposter/poster_item_ptchuanchengyaoji.png	itemposter/poster_item_ptchuanchengyaoji.png	0	1	-1	none	0	1
1503002	高级传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的100%经验传递给另一人。	588	2	3	DisciplePage	传承	itemposter/poster_item_gjchuanchengyaoji.png	itemposter/poster_item_gjchuanchengyaoji.png	0	1	-1	none	0	1
1504001	召唤卷轴(雷利)	召唤雷利所需的必备道具，活动到期后自动消失	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	1
1504002	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	1
1504003	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	1
1504004	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	1
1504005	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	1
2001001	一级精钢	精炼武器时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
