ID	名称	触发类别	触发条件	加成类型	属性提升额度	机缘描述
1	艾斯至亲	1	41	3	25	与路飞齐上阵,防御提升25%。
2	爱抽雪茄	1	73	4	25	与斯摩格齐上阵,意志提升25%。
3	暗恋署长	1	22	1	20	与麦哲伦齐上阵,血量提升20%。
4	七星剑	3	4	2	27	装备七星剑,攻击提升27%。
5	霸者之兵	3	2	2	26	装备王者薙刀,攻击提升26%。
6	白发中将	1	99	1	23	与鹤中将齐上阵,血量提升23%。
7	白胡子老爹	1	2	1	20	与白胡子齐上阵,血量提升20%。
8	白铁合体	1	193	2	18	与杰斯齐上阵,攻击提升18%。
9	白铁合体	1	168	2	18	与克罗马利蒙齐上阵,攻击提升18%。
10	百年对手	1	104	2	23	与布洛基齐上阵,攻击提升23%。
11	百年对手	1	103	2	23	与东利齐上阵,攻击提升23%。
12	百年约定	1	169	4	19	与文布兰·库力克齐上阵,意志提升19%。
13	颁布屠魔令	1	60	1	24	与妮可罗宾齐上阵,血量提升24%。
14	伴随左右	1	26	3	17	与克洛克达尔齐上阵,防御提升17%。
15	宝刀不老	1	4_6	2	26	与战国、雷利齐上阵,攻击提升26%。
16	宝刀不老	1	3_6	2	26	与卡普、雷利齐上阵,攻击提升26%。
17	宝刀不老	1	4_3	2	26	与战国、卡普齐上阵,攻击提升26%。
18	保护鱼人岛	1	2	3	23	与白胡子齐上阵,防御提升23%。
19	暴虐恶名	1	30	1	20	与雨之希留齐上阵,血量提升20%。
20	爆裂杀球	1	194	1	15	与汉堡齐上阵,血量提升15%。
21	爆炸头	1	61	1	20	与布鲁克齐上阵,血量提升20%。
22	爆炸头	1	150	1	20	与福克斯齐上阵,血量提升20%。
23	爆炸头	1	4	1	20	与战国齐上阵,血量提升20%。
24	贝雷帽	3	58	3	19	装备贝雷帽,防御提升19%。
25	被除名	1	39	1	15	与罗布·路奇齐上阵,血量提升15%。
26	被盯上了	1	26	1	20	与克洛克达尔齐上阵,血量提升20%。
27	被击败	1	22	3	23	与麦哲伦齐上阵,防御提升23%。
28	本垒打	3	34	2	20	装备球棒,攻击提升20%。
29	绷带骷髅	1	112	3	21	与T·本恩齐上阵,防御提升21%。
30	冰河时代	2	14	2	18	装备冰河时代技能,攻击提升18%。
31	冰天雪地	1	65	4	29	与娜美齐上阵,意志提升29%。
32	冰雪魔女	1	91	4	25	与莫奈齐上阵,意志提升25%。
33	博士实验	1	58	4	28	与战桃丸齐上阵,意志提升28%。
34	不可斩断	1	53	2	18	与索隆齐上阵,攻击提升18%。
35	不灭梦魇	1	13	1	22	与凯多齐上阵,血量提升22%。
36	不灭梦魇	1	27	1	22	与莫利亚齐上阵,血量提升22%。
37	不屈意志	1	41	3	18	与路飞齐上阵,防御提升18%。
38	不死鸟	1	18	1	16	与马尔科齐上阵,血量提升16%。
39	部下之子	1	64	1	24	与乌索普齐上阵,血量提升24%。
40	残忍信念	1	141	1	22	与贝拉米齐上阵,血量提升22%。
41	惨遭暗算	1	106	4	25	与Mr.3齐上阵,意志提升25%。
42	草帽厨师	1	59	1	23	与香吉士齐上阵,血量提升23%。
43	草帽船长	1	41	2	23	与路飞齐上阵,攻击提升23%。
44	草帽航海士	1	65	1	25	与娜美齐上阵,血量提升25%。
45	草帽剑客	1	53	3	23	与索隆齐上阵,防御提升23%。
46	草帽乐队	1	61	4	25	与布鲁克齐上阵,意志提升25%。
47	草帽乐队	1	62	4	25	与弗兰奇齐上阵,意志提升25%。
48	草帽双姝	1	65	4	25	与娜美齐上阵,意志提升25%。
49	草帽双姝	1	60	4	25	与妮可罗宾齐上阵,意志提升25%。
50	草帽约定	1	41	2	26	与路飞齐上阵,攻击提升26%。
51	草帽约定	1	7	2	26	与香克斯齐上阵,攻击提升26%。
52	草帽战斗员	1	53	3	26	与索隆齐上阵,防御提升26%。
53	曾经的敌人	1	156	4	28	与加卡齐上阵,意志提升28%。
54	曾经的朋友	1	16	3	26	与熊齐上阵,防御提升26%。
