章节ID	章节名称	章节剧情	活动入口	对话
1	冒险黎明	这是一个很小的港口小镇，一年前，港里来了一艘海贼船，停泊至今……快乐而自由的海盗们，在一名少年心里，种下了一粒驶向大海的梦想种子。	none	{person/poster_char_xiangkesi.png::路飞，谢谢你，你是为了我们才挺身而出的，是个男人就别哭。}{:person/poster_char_lufei.png:可是，你的手……}{person/poster_char_xiangkesi.png::这是我最珍爱的帽子，就先放在你这里，将来一定要还给我，当你成为一名出色的海盗时。}{:person/poster_char_lufei.png:我一定会成为海贼王的！}
2	海贼猎人	终于驶向了大海，尽管只是待在一个木桶里随波逐流，但总有一天会碰到陆地吧！	none	{person/poster_char_mengka.png::卓卓洛亚索隆的大名真是如雷贯耳，不过在我绝对权力之下，一切力量都是可笑的！}{:person/poster_char_guyina.png:女孩子长大后，就会被男孩子超过，真不甘心，我也想成为世界最强的剑豪啊！}{:person/poster_char_suolong.png:我会连她那份也一起变强，会强到让自己的名字响彻天堂，这是我们的约定，在没完成之前，我绝不能死！！}
3	小贼猫	顺利击败了蒙卡那家伙，继续起航，却被一只大鸟叼走扔到一个陌生的岛屿上……一群海贼正将一个女孩围在中央，发生了什么事情？	none	{person/poster_char_lufei.png::村民们能为了村长被打而如此气愤，真是不错呢！}{:person/poster_char_namei.png:是啊，不过我给你的宝藏在哪？那可是500万贝里呢?}{person/poster_char_lufei.png::我把它留给村子里的人了，村子被毁，重建也需要钱嘛！}{:person/poster_char_namei.png:你这个混蛋！如果再有下次，我绝不会饶了你！}{person/poster_char_suolong.png::哈哈哈哈~~}
4	狙击之王	船上的食物越来越少了，必须赶紧找个地方补给一下，前面正好有一座小岛，去上面看看吧。	none	{person/poster_char_keluo.png::我竟然……}{:person/poster_char_wusuopu.png:终于结束了，现在说出来可能有点唐突，我想出海，成为勇敢的海上战士……}{person/poster_char_xiaohai.png::团长……}{:person/poster_char_wusuopu.png:我要你们在这里喊出自己的梦想，永不放弃，朝自己既定的道路前进！}{person/poster_char_xiaohai.png::我想经营酒吧！我想成为一流的木匠！我要当小说家！}{:person/poster_char_wusuopu.png:好，我宣布，从今天起骗人布海贼团，就此解散！}
5	黑脚厨师	这艘船好厉害，真的是送给我们的么？梅利号，出发吧~~啊，肚子好饿，好想吃肉，看来有必要去招揽一名厨师了。	none	{person/poster_char_zhepu.png::战斗终于结束了啊。哼哼，我原本就痛恨小鬼，只会惹麻烦。我每天都后悔当初为何救你，跟草帽小子去伟大航路吧！}{:person/poster_char_xiangjishi.png:那样正好，死老头，这样你就能快乐度过余生了。}{person/poster_char_zhepu.png::……}{person/poster_char_zhepu.png::喂，香吉士，你可别感冒了……}{:person/poster_char_xiangjishi.png:……！！长期以来多谢你的照顾，这份恩情，我这辈子永远也忘不了！我走了！}
6	恶龙领域	终于不用发愁船上没有好吃的东西了，既然吃饱了，并得知了娜美的消息，那就去把她和梅利号一起接回来吧。	none	{person/poster_char_along.png::娜美是天才航海士，把她关在这个房间里，为我安心画最精准的航海图，哈哈~~}{:person/poster_char_lufei.png:虽然不了解你画航海图的目的，不过我找到了解救娜美的方法，不能让这个房间继续存在！！}{:person/poster_char_namei.png:路飞……谢谢你……}{person/poster_char_along.png::你这个……混蛋……根本不懂如何“使用”她……}{:person/poster_char_lufei.png:娜美不是“工具”，而是我的伙伴！！}{:person/poster_char_namei.png:没错，我们是……伙伴！！}
7	终与始	终于将可可西亚村的居民从阿龙的噩梦中解救了出来，船上也多了一名经验丰富的航海士。要想进入伟大航路，就必须从颠倒山进入，向开始与结束的城镇——罗格镇进发！	none	{person/poster_char_xiangjishi.png::我要找到all-blue！}{:person/poster_char_lufei.png:我要成为海贼王！}{person/poster_char_suolong.png::我要成为世界第一的剑客！}{:person/poster_char_namei.png:我要画出世界地图！}{person/poster_char_lufei.png::目标，伟大航路！出发！！}
8	威士忌山	进入了伟大航路，偶然遇到两个奇怪的人，因为这里的气象全都无法相信，只有按照他们的记录指针前行，先送他们回家了。	none	{person/poster_char_mr5.png::我竟然败了……不过你们的情报Mr.0会收到的……}{:person/poster_char_mr8.png:那么，我来假扮公主直接回去，请你们保护公主从普通航路返回……}{person/poster_char_mr8.png::薇薇公主，您一定要拯救我们的王国啊！}{:person/poster_char_shangjinlieren1.png:轰……伊卡莱姆的船爆炸了……}{person/poster_char_lufei.png::他真是伟大，不要让他的努力白费，快走！我们一定会把公主送回王国的！}
9	小花园	在驶向阿拉巴斯坦的途中，巴洛克工作社的高级成员Miss·AllSunday，她似乎对大家的航行路径了如指掌，既然如此，那就捏碎指针，航线由自己来掌控！	none	{person/poster_char_dongli.png::好友要离开了，我们不能置之不理，因为海上有怪物啊。}{:person/poster_char_buluoji.png:我的战斧跟你的剑已经坏的差不多了，如果断了，你会觉得可惜么？}{person/poster_char_dongli.png::当然，它可是与我并肩作战一百多年呢，但是为了朋友……}{:person/poster_char_buluoji.png:你们拼死保住了我们的荣誉，我们绝对不会让任何人毁掉朋友的海盗旗！}{person/poster_char_dongli.png::相信我们，笔直的前进吧！}
10	冬之岛	离开小花园不久，娜美突然得了重病，高烧不止，必须尽快找到一名医生来为她治病才行，看来航海过程中，船医是重要的伙伴呀。	none	{person/poster_char_guleiwa.png::都结束了，他们要出海了，都准备好了么？}{:person/poster_char_xiluluke.png:我是Dr.希鲁鲁克，我要叫你乔巴，你一定能成为很好的医生。}{:person/poster_char_xiluluke.png:就算我消失了，我的梦想还是会实现，附在雪花上的红色灰尘，会让漫天大雪变成樱花。}{:person/poster_char_xiluluke.png:这就是我花了30年找到的，医治这个国家的答案。谢谢你，乔巴！}{person/poster_char_qiaoba.png::我要成为“万能药”！！我要成为能医治任何病的医生！因为...这个世界上没有什么病...是无法医治的！}
11	沙漠王国	看着冬岛逐渐从视线中消逝，距离沙漠王国阿拉巴斯坦更近了一步，大家都在担忧着巴洛克工作社的巨大阴谋，不知道国内的局势现在如何了？	none	{person/poster_char_weiwei.png::大家！我是来向你们道别的，我不能和你们一起走了，非常感谢你们一直以来对我的照顾！}{person/poster_char_weiwei.png::虽然我还想继续冒险，但是我始终还是最爱这个国家，所以我不能去了。}{person/poster_char_weiwei.png::我…就用X来做记号好了，我……我虽然要留在这里…如果有一天再相会的话，能再叫我一声“伙伴”吗？}{:person/poster_char_shoubi.png:今后不管发生什么事，左手上的这个X就是——伙伴的记号！}
