ID	合成目标	合成所需	合成成功率（百分之）
5004001	51001:1:1	61001:5004001:1,61001:5003001:9999,61001:5003002:9999	0
5004002	51001:2:1	61001:5004002:1,61001:5003002:80,61001:5003002:40	0
5004003	51001:3:1	61001:5004003:1,61001:5003001:90,61001:5003002:120	100
5004004	51001:4:1	61001:5004004:1,61001:5003001:100,61001:5003002:40	100
5004005	51001:5:1	61001:5004005:1,61001:5003001:100,61001:5003002:50	0
5004006	51002:6:1	61001:5004006:1,61001:5003001:10,61001:5003002:90	100
5004007	51002:7:1	61001:5004007:1,61001:5003001:10,61001:5003002:80	100
5004008	51002:8:1	61001:5004008:1,61001:5003002:80,61001:5003002:40	0
5004009	51002:9:1	61001:5004009:1,61001:5003001:100,61001:5003002:50	0
5004010	51002:10:1	61001:5004010:1,61001:5003002:80,61001:5003002:40	0
5005001	52001:38:1	61001:5005001:1,61001:5003001:100,61001:5003002:50	0
5005002	52001:39:1	61001:5005002:1,61001:5003002:80,61001:5003002:40	0
5005003	52001:40:1	61001:5005003:1,61001:5003001:100,61001:5003002:50	0
5005004	52001:41:1	61001:5005004:1,61001:5003002:80,61001:5003002:40	0
5005005	52001:42:1	61001:5005005:1,61001:5003001:100,61001:5003002:50	0
5005006	52002:43:1	61001:5005006:1,61001:5003002:80,61001:5003002:40	0
5005007	52002:44:1	61001:5005007:1,61001:5003001:100,61001:5003002:50	0
5005008	52002:45:1	61001:5005008:1,61001:5003002:80,61001:5003002:40	0
5005009	52002:46:1	61001:5005009:1,61001:5003001:100,61001:5003002:50	0
5005010	52002:47:1	61001:5005010:1,61001:5003002:80,61001:5003002:40	0
5006001	53001:66:1	61001:5006001:1,61001:5003001:100,61001:5003002:50	0
5006002	53001:67:1	61001:5006002:1,61001:5003001:300	100
5006003	53001:68:1	61001:5006003:1,61001:5003001:100,61001:5003002:50	0
5006004	53001:69:1	61001:5006004:1,61001:5003002:80,61001:5003002:40	0
5006005	53001:70:1	61001:5006005:1,61001:5003001:200,61001:5003002:50	100
5006006	53002:71:1	61001:5006006:1,61001:5003002:80,61001:5003002:40	0
5006007	53002:72:1	61001:5006007:1,61001:5003001:100,61001:5003002:50	0
5006008	53002:73:1	61001:5006008:1,61001:5003002:80,61001:5003002:40	0
5006009	53002:74:1	61001:5006009:1,61001:5003001:80,61001:5003002:300	100
5006010	53002:75:1	61001:5006010:1,61001:5003002:80,61001:5003002:40	0
