关卡ID	章ID	关卡名称	BOSS类型	体力消耗数量	每日限制攻打成功次数	胜利后奖励经验	胜利后奖励银两	掉落物品	关卡NPC	建议等级	关卡剧情	头像路径
101	1	酒馆滋事	0	1	999	10	20	0	101	1	本来宁静而充满欢乐的小镇酒馆，闯进一群山贼，并因为没有了美酒而与海贼们产生了争执……	members/head_char_shanzei.png
102	1	破碎美酒	1	1	10	13	26	50000_32_1	102	1	作为头号通缉犯的山贼首领，并不接受红发船长赠酒的好意，而是粗暴的将酒瓶砸向了他……	members/head_char_shanzeitoumu.png
103	1	再次挑衅	0	1	999	11	22	0	103	1	山贼们扬长而去，红发海贼们却毫不在意，依旧出海了。直到有一天，山贼们再次来到酒馆……	members/head_char_shanzei.png
104	1	山贼喽啰	0	1	999	11	22	0	104	1	返航的红发海贼们，恰巧碰到即将抓人离去的山贼，一场战斗就此展开了。	members/head_char_shanzei.png
105	1	西格首领	0	1	999	11	22	0	105	1	混战中，西格首领见势不妙，挟持少年落荒而逃，驾着小船驶向大海。	members/head_char_xige.png
106	1	近海王兽	2	1	5	18	36	50000_28_1	106	2	海王来袭。千钧一发之际，一道身影在少年身前化解了危机。只是，红发从此失去了一只手臂。	members/head_char_elong.png
201	2	陌生海岛	0	1	999	11	22	0	201	2	一群海贼捞起木桶，以为是装满了美酒，兴冲冲的准备打开，木桶却从里面被打破了……	members/head_char_haidao1.png
202	2	初遇海贼	0	1	999	13	26	0	202	2	巨大的响动引起一阵骚乱，木桶也被打飞，旁边还跟着一个戴眼镜的小矮子——克比。	members/head_char_haidao1.png
203	2	铁棒	1	1	10	16	32	50000_62_1	203	2	了解到克比希望加入海军的梦想，你决定帮助他，不过要先去解决束缚着她的亚尔丽塔船长。	members/head_char_yaerlita.png
204	2	捆绑的猎人	0	1	999	13	26	0	204	2	来到海军基地所在的小镇上，广场中央正绑着一名海贼猎人，似乎名气还蛮大的。	members/head_char_haijun1.png
205	2	擅自决定	0	1	999	14	28	0	205	3	真是个顽强的家伙，无论如何，都要把他拉到自己的船上！	members/head_char_haijun1.png
206	2	取回武器	1	1	10	19	38	50000_30_1	206	3	他最宝贵的武器被海军收走了，看来只能先帮他取回来才能采取下一步行动，冲向海军基地吧！	members/head_char_beilumeibo.png
207	2	营救索隆	2	1	5	26	52	50000_57_1	207	3	蒙卡上校竟然追到了广场，先将索隆的绳索砍断吧，然后再来对付他。	members/head_char_mengka.png
301	3	美女小偷	0	1	999	14	28	0	301	3	站在四周的海贼在短暂的错愕之后，围了上来，显然不像是在欢迎你，那么动手吧……	members/head_char_haidao2.png
302	3	联手合作	0	1	999	15	30	0	302	3	女孩叫娜美，是一名专偷海贼的小偷，她的下一个目标就是巴基海贼团，你是否要跟她合作呢？	members/head_char_haidao2.png
303	3	巴基海贼团	0	1	999	16	32	0	303	3	娜美说的合作竟然是把你绑起来扔进囚笼，关键时刻，索隆终于赶到，战斗开始了。	members/head_char_haidao2.png
304	3	猛兽秀	1	1	10	22	44	41000_58_1	304	4	哎？这个头戴古怪头套的家伙是干啥的？哈哈，他竟然帮你打破了囚笼！	members/head_char_moqi.png
305	3	巴基炮弹	0	1	999	16	32	0	305	4	得知摩奇被打败，气急败坏的巴基准备用巴基炮弹摧毁小镇，必须阻止他！	members/head_char_haidao3.png
306	3	勇气之心	0	1	999	16	32	0	306	4	在小狗秀秀的勇气感召下，村长终于下定决心，挑战巴基，保卫小镇，去帮他把。	members/head_char_haidao3.png
307	3	反击开始	0	1	999	19	38	0	307	4	反击终于开始了，不断的有村民赶来，绝对不能输！	members/head_char_haidao3.png
308	3	杂耍参谋	1	1	10	24	48	50000_63_1	308	4	又出现一个骑着独轮车，嘴里喷火的怪家伙，是从马戏团出来的么？	members/head_char_kabaji.png
309	3	四分五裂	2	1	5	33	66	50000_26_1	309	5	红鼻子，不要打扰索隆的决斗，来进行1V1的战斗吧。	members/head_char_baji.png
401	4	小鬼的骚扰	0	1	999	19	38	0	401	5	刚刚靠岸，就碰到一群潜伏在树丛中的小鬼，他们拿着弹弓与木剑，是要发动进攻么？	members/head_char_xiaohai1.png
402	4	谎言与真实	0	1	999	19	38	0	402	5	这个长鼻子的家伙真是有趣，拉他入伙吧！只是他牵挂着大宅子里的可雅，一起跟去看看。	members/head_char_zhuangyuanshouwei.png
403	4	教训	0	1	999	20	40	0	403	5	这个庄园的管家真是个大混蛋，丝毫不知道尊重他人，看来必须教训他一下。	members/head_char_zhuangyuanshouwei.png
404	4	催眠大师	1	1	10	27	54	50000_37_1	404	6	被可雅赶来出来，却无意中发现一个倒着走的怪人，形迹可疑的徘徊在庄园附近。	members/head_char_zangao.png
405	4	巨大阴谋	0	1	999	20	40	0	405	6	跟踪上去，发现催眠师竟然与管家悄悄碰面，商量着暗杀可雅小姐！	members/head_char_haidao4.png
406	4	原形毕露	0	1	999	22	44	0	406	6	想不到管家竟然是大名鼎鼎的克洛船长，他企图制造海贼抢掠的假象，从而获得整个庄园。	members/head_char_haidao4.png
407	4	黑猫海贼团	0	1	999	23	46	0	407	6	黑猫海贼团已经登岸，村民们不相信乌索普的话，只有靠你来阻止他们了。	members/head_char_haidao4.png
408	4	猫人兄弟一	1	1	10	32	64	41000_50_1	408	6	拆下了黑猫海贼船的船头，不料惊动了船上的猫人兄弟，似乎周围的海贼都很怕他们。	members/head_char_buzhi.png
409	4	猫人兄弟二	1	1	10	32	64	50000_60_1	409	7	击败了猫人兄弟中的其中一人，剩下的一个也要尽快解决才行。	members/head_char_shanmu.png
410	4	智多星	2	1	5	42	84	41000_52_1	410	7	被可雅听到亲口吐露的阴谋，克洛仍毫无悔改之心，将他打飞吧！	members/head_char_keluo.png
501	5	海上餐厅	0	1	999	33	66	0	501	7	听说在海上有一艘海船，拥有最好的厨师，人们称之为海上西餐厅，何不前去看看呢？	members/head_char_chushi1.png
502	5	厨师争斗	0	1	999	35	70	0	502	7	刚一来到，就碰到两名厨师在大声争吵，那个卷眉毛叫香吉士么？看来是名很好的厨师呢。	members/head_char_chushi1.png
503	5	不速之客	0	1	999	37	74	0	503	7	一个海贼被救上船来，狼吞虎咽吃着食物，只是这个叫阿金的海贼后面，跟来一群不速之客。	members/head_char_chushi2.png
504	5	鹰眼的试炼	1	1	10	48	96	50000_32_1,50000_61_1	504	7	黑刀乱刃，鹰一般的眼神，站在剑客之路顶点之人，为了大剑豪之名，索隆发起了挑战。	members/head_char_yingyan.png
505	5	东海霸者	0	1	999	45	90	0	505	7	索隆仍有一口气在，而海贼团趁机登上了船，他们自称是东海的霸者——克里克海贼团。	members/head_char_haidao5.png
506	5	恩将仇报	0	1	999	48	96	0	506	7	克里克海贼团在遭受鹰眼重创后，落荒而逃，酒足饭饱后，开始打起海上餐厅的主意来。	members/head_char_haidao5.png
507	5	大混战	0	1	999	48	96	0	507	7	随着克里克抢夺海上餐厅的命令下达，厨师们开始奋起反击，一场混战愈演愈烈。	members/head_char_haidao5.png
508	5	铜墙铁壁	1	1	10	58	116	50000_32_1	508	8	61战毫发无伤的巴拉，拥有铁壁称号的海贼正式登场，可为啥他会流鼻血……	members/head_char_bala.png
509	5	鬼人登场	1	1	10	58	116	50000_60_1	509	8	阿金为了报答一饭之恩，击碎了铁壁，并向首领克里克提出要亲自结束这场战斗。	members/head_char_jin.png
510	5	海贼提督	2	1	5	66	132	41000_59_1,50000_20_1	510	8	阿金不忍下手，愤怒的克里克放出毒气。看着将面罩交给香吉士的阿金倒下，怒火在不断燃烧。	members/head_char_kelike.png
601	6	可可西亚村	0	1	999	50	100	0	601	8	来到阿龙统治的小镇，立刻就碰到一群鱼人的袭击，不由分说，先打倒他们吧。	members/head_char_yuren1.png
602	6	恶龙喽啰	0	1	999	50	100	0	602	8	糟糕，索隆还被绑在船上，这下子恐怕直接被带到阿龙的老巢里了。真是一群恼人的小喽啰啊。	members/head_char_yuren1.png
603	6	恶龙前哨	0	1	999	52	104	0	603	8	阿龙似乎对索隆不以为意，但听到仍有同伙逃走进入小镇，决定亲自处理这件事情……	members/head_char_yuren1.png
604	6	逃脱	0	1	999	53	106	0	604	8	趁着阿龙前往小镇，索隆挣脱了绳索，成功反客为主，等待阿龙的归来。	members/head_char_yuren1.png
605	6	小八	1	1	10	63	126	50000_31_1,50000_61_1	605	9	嗯？这只章鱼竟然也是一名剑客，但似乎脑子不太灵光，把索隆当成了来拜访的客人……	members/head_char_xiaoba.png
606	6	重返领域	0	1	999	55	110	0	606	9	得知阿龙以全镇居民姓名为要挟，逼迫娜美为其绘制航海图的恶行后，一定要将娜美救出来。	members/head_char_yuren2.png
607	6	轰击大门	0	1	999	58	116	0	607	9	直接冲向恶龙领域，只是有一扇坚固的大门挡住了去路，轰破它吧！	members/head_char_yuren2.png
608	6	恶龙守卫	0	1	999	59	118	0	608	9	闻声而至的恶龙守卫们，纷纷拔刀相向，击败他们才能继续前行。	members/head_char_yuren2.png
609	6	恶龙战斗员	0	1	999	62	124	0	609	9	几名衣着光鲜的鱼人也加入了战斗，似乎比前面的小喽啰要强不少呢，只是还是不够看的！	members/head_char_yuren2.png
610	6	接吻鱼人	1	1	10	72	144	41000_69_1,50000_37_1	610	9	这家伙的嘴真奇怪，是接吻鱼人么？	members/head_char_jiu.png
611	6	软骨鱼人	1	1	10	72	144	50000_60_1	611	10	借助水域的优势，克罗欧比将香吉士逼入险境，快想办法解决他！	members/head_char_keluooubi.png
612	6	锯齿鲨鱼	2	1	5	84	168	50000_52_1,50000_59_1	612	10	终于见到了阿龙，看着哭泣的娜美，你大声喊出：不许弄哭我的航海士！战斗吧！	members/head_char_along.png
701	7	罗格镇	0	1	999	63	126	0	701	10	这就是海贼王罗杰出生与被处死的城镇么？好好逛一下吧，但到哪都摆脱不了海贼挑衅的麻烦。	members/head_char_haidao3.png
702	7	小镇骚乱	0	1	999	63	126	0	702	10	当年的处刑台前聚集了一堆的人，真是热闹，快去看看。	members/head_char_haidao3.png
703	7	处刑台前	0	1	999	65	130	0	703	10	这就是海贼王看到的景色？站在高台上，望着下面涌动的人流，有一些熟悉的身影渐渐浮现。	members/head_char_haidao3.png
704	7	冤家路窄	0	1	999	67	134	0	704	10	糟糕，被刑台铐住，无法动弹了，好像要被砍了呢……	members/head_char_haidao3.png
705	7	行刑者	1	1	10	80	160	50000_32_1,50000_64_1	705	11	巴基迫不及待的跳上高台，想亲自进行处刑。闪电落下，击中了巴基，果然还是活下来了呀。	members/head_char_baji.png
706	7	海军赶到	0	1	999	71	142	0	706	11	海军似乎赶来了，还是趁着大雨，快些逃走吧，可不能在进入伟大航路前就被抓住呢。	members/head_char_haijun2.png
707	7	大混战	0	1	999	74	148	0	707	11	看来所有的海贼都成了被抓捕的对象，巴基他们也不例外，真是一场混乱的战斗。	members/head_char_haijun2.png
708	7	抓捕	0	1	999	78	156	0	708	11	喔唷，巴基他们竟然被抓住了，看来要加快速度了。	members/head_char_haijun2.png
709	7	冲向港湾	0	1	999	79	158	0	709	11	逃过下一个小巷，就可以看到海港了，快跑！	members/head_char_haijun2.png
710	7	女剑士	1	1	10	94	188	50000_37_1	710	12	这里有一个女剑士挡住了去路，她也是海军么？既然是剑士，那就交给索隆吧。	members/head_char_dasiqi.png
711	7	白色猎人	1	1	10	97	194	50000_65_1,41000_50_1	711	12	这是什么，好大的烟雾，是恶魔果实的能力么？必须赶快找到方向，不能继续纠缠下去了。	members/head_char_simoge.png
712	7	颠倒山	2	1	5	114	228	50000_21_1,50000_24_1	712	13	登上梅利号了，已经看到导引灯了，抛下木桶来个下水典礼，庆祝即将迈入伟大航路吧！	members/head_char_labu.png
801	8	抵达海岸	0	1	999	88	176	0	801	13	似乎听到了人的声音，摆脱迷雾，就能靠岸了。	members/head_char_jumin.png
802	8	欢迎之城	0	1	999	91	182	0	802	13	海贼来到这里不但没有引起恐慌，还受到热烈欢迎，真是不可思议！	members/head_char_jumin.png
803	8	疯狂酒宴	0	1	999	93	186	0	803	13	在镇长的盛情邀请下，一场庞大的欢迎宴会即将举行，只是这种热情有些过头了吧？	members/head_char_jumin.png
804	8	月光与墓碑	0	1	999	94	188	0	804	13	狂欢过后，醉倒的众人静静躺在皎洁的月光之下，潜藏的恶魔露出獠牙，今夜这里将变成墓地。	members/head_char_jumin.png
805	8	星期三	1	1	10	113	226	50000_35_1,50000_64_1	805	14	果然这是一个陷阱，赏金猎人组成的庞大组织，想将来到伟大航路的海贼们一网打尽。	members/head_char_wednesday.png
806	8	大闹一场	0	1	999	98	196	0	806	14	既然明白了阴谋，就无需留守，在伟大航路的第一站，闹个天翻地覆吧。	members/head_char_shangjinlieren1.png
807	8	索隆的表演	0	1	999	101	202	0	807	14	这似乎成了索隆的表演专场，这些三流的赏金猎人，一一倒下。	members/head_char_shangjinlieren1.png
808	8	以一敌百	0	1	999	102	204	0	808	14	1V100，完全无法进行有效的反击，完胜！	members/head_char_shangjinlieren1.png
809	8	无眠之夜	0	1	999	104	208	0	809	14	注定无法入眠的一夜，即便是巴洛克工作社的成员，也无法忘记今天的梦魇。	members/head_char_shangjinlieren1.png
810	8	秘密组织	1	1	10	123	246	41000_50_1,50000_35_1	810	14	想不到这个镇的镇长也是巴洛克工作社的成员，亲自导演了今晚的闹剧。	members/head_char_mr8.png
811	8	身份泄露	0	1	999	105	210	0	811	14	新敌人切入战局，带来一个消息——Miss.Wednesday竟是阿拉巴斯坦王国公主！	members/head_char_jumin.png
812	8	一万公斤	1	1	10	123	246	50000_60_1,41000_63_1	812	15	原来薇薇公主潜入工作社，是想了解敌人内部的秘密，解救王国。但是现在，秘密暴露了……	members/head_char_valentine.png
813	8	爆爆果实	2	1	5	143	286	41000_40_1	813	15	受到公主衷心侍卫的嘱托，决定护送公主回国，把阻挡在眼前的敌人统统击败，履行承诺吧。	members/head_char_mr5.png
901	9	古老岛屿	0	1	999	106	212	0	901	15	这座被称为小花园的小岛，是连巴洛克工作社成员都未曾探知的岛屿，不知道里面有什么危险。	members/head_char_konglong1.png
902	9	原始丛林	0	1	999	106	212	0	902	15	想不到这个岛屿上，充斥的竟然是十分古老的植物，难道这是一座远古时期遗存下来的岛屿么？	members/head_char_konglong1.png
903	9	竞赛	0	1	999	107	214	0	903	15	香吉士需要准备晚餐了，去弄些猎物回来吧，比一下看谁在日落前，能弄到更多的肉！	members/head_char_konglong1.png
904	9	狩猎开始	0	1	999	109	218	0	904	15	狩猎正式开始了，四处逛逛，看看有什么猎物。	members/head_char_konglong1.png
905	9	远古恐龙	0	1	999	115	230	0	905	15	好多恐龙！这真是一个神奇的岛屿，一展身手吧。	members/head_char_konglong2.png
906	9	爆炸的酒	1	1	10	141	282	50000_33_1,50000_64_1	906	17	将随身携带的美酒赠予巨人，不料从他的肚子里传出一阵爆炸声，这下可有解释不清的误会了。	members/head_char_dongli.png
907	9	约战	0	1	999	128	256	0	907	17	与愤怒的巨人经过短暂交锋，忽然传来一阵奇怪的吼叫声，原来是岛上另一个巨人的约战信号！	members/head_char_konglong2.png
908	9	隐藏的敌人	0	1	999	133	266	0	908	17	巨人不顾伤势，毅然决然的奔向约战地点，到底是谁，在暗中卑鄙的炸伤了巨人大叔？！	members/head_char_konglong2.png
909	9	汇合	0	1	999	141	282	0	909	17	抓紧时间与另外的船员汇合，才知道一场大战即将开始，必须尽快去阻止他们。	members/head_char_konglong2.png
910	9	娜美失踪	0	1	999	149	298	0	910	17	突然发现娜美不见了，她是迷路了，还是发生了其它事情？在附近搜寻一下吧，当心那些猛兽！	members/head_char_konglong2.png
911	9	晚了一步	0	1	999	154	308	0	911	17	快赶去将巨人东利受伤的事情告诉布洛基。但最终还是晚了一步，东利已经倒在了地上。	members/head_char_konglong2.png
912	9	敌人现身	1	1	10	188	376	41000_63_1,50000_37_1	912	18	当布洛基以复杂的心态迎接胜利时，导致东利受伤的幕后黑手现身，又是巴洛克工作社成员！	members/head_char_mr5.png
913	9	真相大白	0	1	999	162	324	0	913	18	在东利喝的美酒中加入炸药，又使用蜡烛让东利脚下打滑战败，使得知真相的布洛基悲愤莫名。	members/head_char_mr5.png
914	9	蜡烛盛宴	2	1	5	215	430	41000_38_1	914	19	该死的蜡烛人弄出巨大的蜡烛盛宴，在场的所有人即将变成蜡像，快去打掉南瓜头蜡烛！	members/head_char_mr3.png
1001	10	冰雪岛屿	0	1	999	163	326	0	1001	19	前面有一座岛屿，完完全全被冰雪覆盖，应该就是伟大航路独有的四类岛屿中的冬之岛了。	members/head_char_jumin1.png
1002	10	无名之国	0	1	999	163	326	0	1002	19	还未靠岸，就遭到了岛上居民的喝止，似乎他们对于海贼抱有极大的敌意。	members/head_char_jumin1.png
1003	10	开枪了	0	1	999	163	326	0	1003	19	当薇薇公主试图以和平方式登陆海岛时，岛上的居民居然开枪了！这群混蛋……	members/head_char_jumin1.png
1004	10	登上岛屿	0	1	999	163	326	0	1004	19	单纯靠武力是无法解决所有问题的，惹恼了村民，娜美的病就无人医治了。	members/head_char_jumin1.png
1005	10	魔女传说	0	1	999	166	332	0	1005	19	进入村子之后，得知这里唯一的医生，是一名性情古怪的医娘，要想治病只能去请她了。	members/head_char_jumin1.png
1006	10	磁鼓山	1	1	10	198	396	50000_64_1,41000_70_1	1006	20	向磁鼓山进发，听说山上有很多奇异的生物，比如说……眼前的这只庞大的兔子。	members/head_char_tuzi.png
1007	10	攀登雪山	0	1	999	175	350	0	1007	20	真是一座高大的山峰，一路走去，总感觉有什么东西在偷偷窥视着你们。	members/head_char_tuzi.png
1008	10	白色身影	0	1	999	178	356	0	1008	20	在留心观察了许久之后，发现在白茫茫的雪原上，有一些白色的身影不断起伏，那是什么？	members/head_char_tuzi.png
1009	10	肉食兔	0	1	999	182	364	0	1009	20	我的天，竟然是一群肉食兔，虽然一只兔子的攻击力并不算什么，但是这么一大群……	members/head_char_tuzi.png
1010	10	逃向山顶	0	1	999	187	374	0	1010	20	经过短暂纠缠，越来越多的肉食兔正在聚集，时间紧迫，还是尽快打开一个缺口，冲到山顶。	members/head_char_tuzi.png
1011	10	打开大门	0	1	999	252	504	0	1011	20	来到山顶之后，城堡的大门紧闭，跑过去敲开大门吧。	members/head_char_tuzi.png
